Title,Description,List,Due Date,Priority,Labels
"Criar 6 códigos secretos das equipes","Definir códigos memoráveis para Azul, Verde, Amarela, Roxa, Laranja e Vermelha. Atualizar em assets/config.js","DIA 1: Configuração Central",,High,"Configuração,Urgente"
"Obter coordenadas GPS dos 6 locais","Abrir Google Maps, clicar em cada local, copiar coordenadas (lat,lng). Atualizar em assets/config.js","DIA 1: Configuração Central",,High,"Configuração,GPS,Urgente"
"Escolher 3 autores-chave das duplas","Dupla 1 (Azul+Verde), Dupla 2 (Amarela+Roxa), Dupla 3 (Laranja+Vermelha). Verificar se existem na lista de 15 autores","DIA 1: Configuração Central",,High,"Configuração,Literatura,Urgente"
"Definir frase-chave final","Criar frase relacionada à temática da birita. Máx 5-6 palavras. Atualizar em assets/config.js","DIA 1: Configuração Central",,High,"Configuração,Urgente"
"Definir mensagem de encerramento","Escrever mensagem que aparece quando a equipe acerta. Deve mencionar open bar e prêmio","DIA 1: Configuração Central",,High,"Configuração,Urgente"
"Testar site localmente","Abrir index.html no navegador. Testar todos os códigos, coordenadas, autores, frase-chave e confete","DIA 2: Hospedagem e Testes",,"High","Teste,QA"
"Escolher plataforma de hospedagem","GitHub Pages, Netlify ou Vercel. Recomendado: GitHub Pages (grátis)","DIA 2: Hospedagem e Testes",,High,"Hospedagem,Infraestrutura"
"Fazer upload para GitHub Pages","Criar repositório no GitHub, fazer push do código, ativar GitHub Pages nas configurações","DIA 2: Hospedagem e Testes",,High,"Hospedagem,DevOps"
"Criar 3 contas de Instagram para duplas","Dupla 1: ___, Dupla 2: ___, Dupla 3: ___. Criar bios com pistas relacionadas ao ARG","DIA 2: Hospedagem e Testes",,Medium,"Social,Marketing"
"Atualizar links do Instagram em config.js","Adicionar URLs das 3 contas. Testar que abrem corretamente","DIA 2: Hospedagem e Testes",,High,"Configuração,Social"
"Definir estratégia de conteúdo do Instagram","Tema/personagem de cada dupla, tom de voz, quantos posts, quando postar","ESTRATÉGIA INSTAGRAM (Paralelo)",,High,"Social,Marketing,Estratégia"
"Criar bios dos Instagram com pistas visuais","Bio intrigante + emoji temático. Exemplo: 🔍 Ajudar a encontrar...","ESTRATÉGIA INSTAGRAM (Paralelo)",,High,"Social,Marketing,Content"
"Preparar posts pré-evento (Stories + Feed)","Stories: birita desapareceu, equipes investigam. Feed: posts com pistas visuais/cifradas","ESTRATÉGIA INSTAGRAM (Paralelo)",,High,"Social,Marketing,Content"
"Definir estilo visual do Instagram","Paleta de cores, filtros, tipografia, template de Stories e posts","ESTRATÉGIA INSTAGRAM (Paralelo)",,Medium,"Social,Design,Marketing"
"Criar conteúdo de pista para Instagram","Qual pista cada dupla revela? Código, dica, foto escondida, primeiras palavras da frase?","ESTRATÉGIA INSTAGRAM (Paralelo)",,High,"Social,Content,Gamification"
"Preparar respostas automáticas no Instagram (DMs)","O que responder quando alguém envia DM? Preparar 2-3 variações de resposta","ESTRATÉGIA INSTAGRAM (Paralelo)",,Medium,"Social,Customer Service"
"Segurança das contas de Instagram","Senhas fortes, 2FA, emails de recuperação, backup de acesso","ESTRATÉGIA INSTAGRAM (Paralelo)",,High,"Social,Segurança,DevOps"
"Timeline de posts no Instagram","T-7 dias: anúncio. T-3: stories. T-1: post com pista. T-0: stories ao vivo. T+0: respostas. T+1: resultado","ESTRATÉGIA INSTAGRAM (Paralelo)",,Medium,"Social,Marketing,Planejamento"
"Testes finais de Instagram","Acessar pelo celular, testar links bio, Stories, DMs, abrir pelo site do ARG","ESTRATÉGIA INSTAGRAM (Paralelo)",,High,"Social,Teste,QA"
"Teste da página de entrada (index.html)","Testar códigos válidos, inválidos, maiúsculas/minúsculas, comportamento de erro","DIA 3: Testes e Documentação",,High,"Teste,QA"
